date,value,error
2009-05-19,20.5332429102,0.0343616152244
2009-05-20,20.3269458223,0.32214450041
2009-05-21,19.8255116627,0.511316305095
2009-05-22,19.0750513624,0.227743523564
2009-05-23,19.0100428695,0.213688757142
2009-05-24,18.6705447659,0.181886189531
2009-05-25,18.4052762661,0.111157039618
2009-05-26,18.7752745307,0.227234996567
2009-05-27,18.9740662307,0.233379703743
2009-05-28,18.9101307037,0.362701679068
2009-05-29,18.9264829338,0.313729017757
2009-05-30,18.5386107369,0.1661477874
2009-05-31,18.4145401656,0.177161121457
2009-06-01,17.0874915203,0.5817183181
2009-06-02,16.7353839906,0.0755056964001
2009-06-03,16.7689977757,0.0768673020396
2009-06-04,16.8487509083,0.0512642570126
2009-06-05,17.1614975047,0.129043518168
2009-06-06,17.456826079,0.266877492904
2009-06-07,17.4613112601,0.203921319395
2009-06-08,17.5458600068,0.0802751182694
2009-06-09,17.6232125248,0.0453604651943
2009-06-10,17.7375105441,0.0433814808472
2009-06-11,17.8532681673,0.017030086897
2009-06-12,17.8923870902,0.0260593199515
2009-06-13,17.9460998347,0.147743492451
2009-06-14,17.9977530782,0.165858702249
2009-06-15,18.0804298599,0.236352694142
2009-06-16,18.1830105311,0.230507289083
2009-06-17,17.9311985191,0.225812025318
2009-06-18,17.5349752809,0.461346316336
2009-06-19,16.7605183939,0.216284802416
2009-06-20,16.2538889791,0.386130273451
2009-06-21,15.8106783262,0.143397435242
2009-06-22,15.7592026313,0.132902917789
2009-06-23,15.5942729705,0.198588628534
2009-06-24,15.3932454482,0.14981053637
2009-06-25,15.6318969596,0.178290018026
2009-06-26,15.5343295335,0.09284337594
2009-06-27,15.9081950747,0.245362218232
2009-06-28,16.7905840699,0.575796547919
2009-06-29,18.1449823898,0.14209700335
2009-06-30,17.8633525799,0.216432761265
2009-07-01,17.6165192411,0.483903112113
2009-07-02,17.0731006554,0.308376273084
2009-07-03,17.2009901657,0.153356700413
2009-07-04,17.6844198692,0.19171091803
2009-07-05,17.8011640741,0.119527089177
2009-07-06,17.9291463032,0.249920317705
2009-07-07,18.1010316129,0.289699466349
2009-07-08,17.7099357901,0.159997438276
2009-07-09,17.6310673107,0.167952707809
2009-07-10,17.6494465295,0.0608004988351
2009-07-11,17.7989210507,0.288051575556
2009-07-12,18.5404477827,0.365842554662
2009-07-13,17.4451203401,0.45876098393
2009-07-14,17.2402069232,0.333421770905
2009-07-15,16.9869617891,0.108819170045
2009-07-16,17.6070671305,0.225194717813
2009-07-17,17.4082297369,0.0884881401226
2009-07-18,17.4305062357,0.159029770025
2009-07-19,17.6475792335,0.248295492157
2009-07-20,17.4239083988,0.0650808187992
2009-07-21,17.2098631329,0.171012995674
2009-07-22,17.1216358438,0.158591170116
2009-07-23,17.2763971083,0.259794544498
2009-07-24,17.5216888088,0.201522845427
2009-07-25,17.6244462409,0.150561144853
2009-07-26,17.0009281856,0.551798673994
2009-07-27,16.2171262404,0.38863646749
2009-07-28,15.9773769611,0.127620050851
2009-07-29,16.1741869848,0.114905153266
2009-07-30,16.3915448111,0.217225709029
2009-07-31,16.721668672,0.362114523431
2009-08-01,16.629472916,0.222394197337
2009-08-02,17.0802625171,0.301435276787
2009-08-03,17.5737022262,0.416509295862
2009-08-04,17.8138449247,0.249316560116
2009-08-05,18.3903244458,0.207276528091
2009-08-06,18.6324681191,0.200248880878
2009-08-07,18.0273605665,0.288042101682
2009-08-08,16.9723568277,0.477193885385
2009-08-09,16.3166184052,0.308848190174
2009-08-10,15.7750344077,0.160102762832
2009-08-11,15.6872223294,0.168804539991
2009-08-12,15.5852641451,0.154152742568
2009-08-13,15.4203979241,0.0753018768906
2009-08-14,15.8150566385,0.152715071738
2009-08-15,16.3859573759,0.13784863238
2009-08-16,16.8579904943,0.216289386195
2009-08-17,17.4766233862,0.285997605636
2009-08-18,17.7539106576,0.198556855054
2009-08-19,17.8599924648,0.293357411185
2009-08-20,18.1439289965,0.205492509555
2009-08-21,18.5149754714,0.215508038645
2009-08-22,18.6778058346,0.300055108046
2009-08-23,18.5485344567,0.0811449525565
2009-08-24,18.4825442798,0.139936270273
2009-08-25,18.4621128563,0.183370604168
2009-08-26,18.8074151005,0.235575542869
2009-08-27,19.4795672074,0.243382318886
2009-08-28,19.4916474951,0.216086117566
2009-08-29,19.6753299608,0.151084457693
2009-08-30,19.6288812738,0.176760434979
2009-08-31,19.6936023208,0.133843578923
2009-09-01,19.6384410355,0.0503066554514
2009-09-02,19.9027388927,0.100846633557
2009-09-03,19.6673787504,0.237868791513
2009-09-04,18.9540512349,0.3528904341
2009-09-05,17.6784931688,0.569675171766
2009-09-06,17.0521156638,0.137104126593
2009-09-07,17.0127891846,0.173732946056
2009-09-08,17.2559420268,0.175460392654
2009-09-09,17.0759759185,0.21350387756
2009-09-10,17.0421740448,0.141223324358
2009-09-11,17.1466417258,0.128763861373
2009-09-12,17.4401213668,0.0572627120001
2009-09-13,17.4860522686,0.0326258625967
2009-09-14,17.6799219251,0.0579497389889
2009-09-15,18.1000030164,0.1408433712
2009-09-16,18.7323365791,0.262615966617
2009-09-17,19.3391669274,0.47167408023
2009-09-18,19.1865763066,0.392995636491
2009-09-19,19.1694500359,0.166616980027
2009-09-20,19.5161503387,0.147243881356
2009-09-21,20.6329874023,0.338950032357
2009-09-22,21.1150538811,0.39319442214
2009-09-23,21.6294451638,0.437224178238
2009-09-24,21.3134047895,0.225093957727
2009-09-25,21.4854642566,0.0989456838567
2009-09-26,21.3850655071,0.220622913457
2009-09-27,21.4632186896,0.310855196354
2009-09-28,21.7204743985,0.178266134607
2009-09-29,21.786385514,0.150495011117
2009-09-30,21.6575919997,0.294630676029
2009-10-01,21.1672714932,0.545342613599
2009-10-02,21.0468214661,0.436909884194
2009-10-03,21.6226502977,0.210899368465
2009-10-04,21.661603956,0.221891317983
2009-10-05,21.7823780021,0.10418404728
2009-10-06,20.9944773704,0.485393115901
2009-10-07,20.7496566159,0.511832019668
2009-10-08,20.4697314447,0.218154117168
2009-10-09,20.3048093929,0.163925974276
2009-10-10,21.0178138955,0.337892231301
2009-10-11,21.1996209376,0.169256876142
2009-10-12,21.8223061258,0.247020222967
2009-10-13,22.4489066815,0.492932890891
2009-10-14,22.602559843,0.492312250603
2009-10-15,22.7009118898,0.348169221352
2009-10-16,22.6361542922,0.231545029683
2009-10-17,23.3317450498,0.327048891842
2009-10-18,23.6063504648,0.237983405942
2009-10-19,23.95984891,0.337092036043
2009-10-20,23.5077978244,0.455733438152
2009-10-21,23.0667736611,0.568672000286
2009-10-22,22.3183321058,0.289722959412
2009-10-23,22.7177688355,0.242579222572
2009-10-24,22.6202030545,0.260209928654
2009-10-25,22.6366840843,0.412869775805
2009-10-26,22.7320541593,0.397335646557
2009-10-27,22.4681867075,0.554831321661
2009-10-28,21.4858081037,0.513673122307
2009-10-29,21.6204723874,0.611383344083
2009-10-30,20.9728953244,0.51500612365
2009-10-31,20.293255874,0.420840350095
2009-11-01,19.8928670251,0.337192054475
2009-11-02,20.1988108807,0.214682896522
2009-11-03,21.1031782583,0.29890615247
2009-11-04,21.2676590571,0.32903192368
2009-11-05,21.9516026706,0.348258377389
2009-11-06,22.8599418053,0.389103292782
2009-11-07,22.3506975214,0.201081227316
2009-11-08,21.8191771418,0.304456566124
2009-11-09,22.3823284334,0.341510576277
2009-11-10,22.7174701819,0.385949005485
2009-11-11,22.8709297397,0.289042527222
2009-11-12,23.5098979755,0.224950473637
2009-11-13,23.7724426856,0.271643817569
2009-11-14,23.9026718055,0.490618005999
2009-11-15,23.8897220765,0.237866116334
2009-11-16,24.5460819138,0.380877523341
2009-11-17,24.5031490912,0.212931721287
2009-11-18,24.1355051974,0.173250821573
2009-11-19,24.2725130535,0.224840280249
2009-11-20,24.4571566246,0.319780838904
2009-11-21,24.5437833,0.363809943374
2009-11-22,24.8768903533,0.466153023014
2009-11-23,24.0813878244,0.356676742281
2009-11-24,24.0863522773,0.333967699526
2009-11-25,24.5712441078,0.277075840586
2009-11-26,24.9583421462,0.357267219809
2009-11-27,25.5964751601,0.501718009474
2009-11-28,25.6605362069,0.158486604051
2009-11-29,25.8981748942,0.128206773207
2009-11-30,26.3301290882,0.15667653064
2009-12-01,27.0153575621,0.265317129797
2009-12-02,27.3502068595,0.219764980415
2009-12-03,27.7800194958,0.212830651368
2009-12-04,27.7919781918,0.264045640463
2009-12-05,28.0337756209,0.641021553791
2009-12-06,27.6699799466,0.443160664532
2009-12-07,26.9743040529,0.410528314604
2009-12-08,26.4473778769,0.427568206357
2009-12-09,26.5259560329,0.403738245657
2009-12-10,26.7012571236,0.436504826682
2009-12-11,26.1827491009,0.381785279833
2009-12-12,26.0087637087,0.372419816665
2009-12-13,26.55147943,0.730600692047
2009-12-14,25.7783561111,0.318726630138
2009-12-15,25.5066659981,0.244637381626
2009-12-16,25.0457979946,0.372797890998
2009-12-17,24.0013470866,0.568034176078
2009-12-18,22.7227887393,0.523781573789
2009-12-19,23.0741309822,0.547826471839
2009-12-20,23.559322989,0.626844169532
2009-12-21,23.8327636594,0.34158295472
2009-12-22,23.7813819937,0.361757122586
2009-12-23,23.0719577113,0.296555557763
2009-12-24,22.5357043981,0.340489590832
2009-12-25,22.1231804088,0.311429874582
2009-12-26,21.8881022134,0.294240563061
2009-12-27,22.1547939939,0.127472299018
2009-12-28,23.2810010907,0.207070647643
2009-12-29,23.9472774396,0.471106476065
2009-12-30,24.7780385742,0.359508206873
2009-12-31,25.3489245789,0.442999165072
2010-01-01,25.6133176577,0.31170302551
2010-01-02,26.0648972946,0.19695568681
2010-01-03,26.6336834273,0.221812091103
2010-01-04,26.5802046057,0.263919796029
2010-01-05,27.0437235578,0.288394728199
2010-01-06,26.6420665402,0.244751638949
2010-01-07,26.7629545177,0.185646048389
2010-01-08,27.2646614465,0.372510306418
2010-01-09,27.3894114934,0.608841834658
2010-01-10,26.6136332676,0.251593936658
2010-01-11,27.5133190639,0.406645556961
2010-01-12,27.3366194382,0.872995147451
2010-01-13,26.6052878272,0.622928553424
2010-01-14,26.1183969309,0.566721270489
2010-01-15,26.1698999515,0.496454813058
2010-01-16,26.2558110371,0.515518495298
2010-01-17,25.9722229117,0.204746562645
2010-01-18,27.362755029,0.448123030212
2010-01-19,27.9928385989,0.679536331418
2010-01-20,27.4430680506,0.437356008746
2010-01-21,26.8350251815,0.235275454366
2010-01-22,27.8439890902,0.417846985439
2010-01-23,27.8607871644,0.359141890479
2010-01-24,27.5023547967,0.410280754804
2010-01-25,27.56123188,0.509646409775
2010-01-26,26.9045746286,0.234427391196
2010-01-27,26.5468307364,0.171175460861
2010-01-28,26.1514894419,0.239587876471
2010-01-29,26.1534979233,0.155331617789
2010-01-30,25.9148463298,0.142730768368
2010-01-31,26.1124101676,0.123763252691
2010-02-01,26.0398648179,0.270553470474
2010-02-02,25.4795467853,0.395049130288
2010-02-03,24.6078242161,0.441001758318
2010-02-04,24.0735323748,0.365683615257
2010-02-05,23.9975131232,0.281815871178
2010-02-06,24.2453294445,0.252886271472
2010-02-07,24.5754903423,0.231958517663
2010-02-08,24.2787160887,0.185957587953
2010-02-09,24.5554906007,0.401261231974
2010-02-10,25.2765561397,0.490652604619
2010-02-11,25.4849490464,0.172509024092
2010-02-12,25.8494952142,0.250774788958
2010-02-13,25.3427093042,0.400815008992
2010-02-14,25.1412790086,0.171109781536
2010-02-15,25.0404009032,0.196374567912
2010-02-16,24.660524286,0.0990105663389
2010-02-17,25.4985372699,0.352296623725
2010-02-18,26.7192870595,0.483513893452
2010-02-19,27.3047250591,0.377183597073
2010-02-20,26.101425664,0.310109003695
2010-02-21,25.2836714155,0.269927436832
2010-02-22,24.6938284963,0.222952545153
2010-02-23,24.8357103404,0.0738201386722
2010-02-24,26.1362051882,0.647996970661
2010-02-25,26.9356941546,0.585453193488
2010-02-26,27.5731386436,0.712129107663
2010-02-27,26.4056120541,0.581665847651
2010-02-28,26.3333276778,0.21938617168
2010-03-01,26.7052256033,0.413504626788
2010-03-02,26.5786801287,0.23459084738
2010-03-03,26.1503993169,0.238155551959
2010-03-04,25.4399997934,0.319584530687
2010-03-05,25.5819770605,0.529397085191
2010-03-06,24.7171071373,0.4582668525
2010-03-07,24.7698169247,0.291400098114
2010-03-08,24.8537095958,0.360858676346
2010-03-09,25.717021148,0.614243460992
2010-03-10,25.6871235836,0.367548216715
2010-03-11,25.8440289878,0.3877122885
2010-03-12,26.1645678451,0.782301045036
2010-03-13,25.5984592422,0.292928133202
2010-03-14,25.1352370067,0.252226938
2010-03-15,25.0279045983,0.357728380319
2010-03-16,24.5689561683,0.123165950722
2010-03-17,24.0660372569,0.392800983613
2010-03-18,23.2727184919,0.264991582061
2010-03-19,23.2804214967,0.16990140971
2010-03-20,23.5972549881,0.18247627148
2010-03-21,23.6539534055,0.169071728795
2010-03-22,24.1208109759,0.101092826271
2010-03-23,24.7810850733,0.198967852997
2010-03-24,25.2697916106,0.166088820874
2010-03-25,24.9111272474,0.378785335993
2010-03-26,24.6655005853,0.125999953933
2010-03-27,24.7404179558,0.176308107108
2010-03-28,24.6201400621,0.243123127837
2010-03-29,24.1655653986,0.308038244844
2010-03-30,23.5191192474,0.372406748259
2010-03-31,22.5362086682,0.50266105811
2010-04-01,21.8881238062,0.290850901321
2010-04-02,21.8659022399,0.152374688176
2010-04-03,21.8078967656,0.043693568951
2010-04-04,NaN,NaN
2010-04-05,NaN,NaN
2010-04-06,NaN,NaN
2010-04-07,NaN,NaN
2010-04-08,NaN,NaN
2010-04-09,NaN,NaN
2010-04-10,NaN,NaN
2010-04-11,NaN,NaN
2010-04-12,NaN,NaN
2010-04-13,NaN,NaN
2010-04-14,NaN,NaN
2010-04-15,NaN,NaN
2010-04-16,23.3637037993,0.661860240233
2010-04-17,22.533569103,0.153959936778
2010-04-18,22.2221430484,0.193320936303
2010-04-19,22.1867853912,0.137861351243
2010-04-20,22.0522049986,0.191178980769
2010-04-21,22.4334486094,0.434672964149
2010-04-22,21.7875386994,0.265918029421
2010-04-23,21.9995577391,0.137376750747
2010-04-24,22.4138688528,0.267230054309
2010-04-25,22.6880387762,0.154147803769
2010-04-26,22.3375131826,0.126023662036
2010-04-27,22.6400579273,0.159383924543
2010-04-28,22.3335075843,0.204209177541
2010-04-29,22.087859932,0.0858020107657
2010-04-30,22.2053585854,0.0471668829907
2010-05-01,22.8493651407,0.485112698167
2010-05-02,22.309842521,0.473170552881
2010-05-03,21.7753089524,0.120736902471
2010-05-04,21.4755067592,0.0917605636378
2010-05-05,21.1592921251,0.179672648486
2010-05-06,20.7363232808,0.324966282031
2010-05-07,20.4315035534,0.111417197184
2010-05-08,20.4027492038,0.174466783146
2010-05-09,20.0391410007,0.0814466442692
2010-05-10,20.1777340007,0.0351610847676
2010-05-11,20.2076225444,0.0259411715666
2010-05-12,20.4501657898,0.176712914871
2010-05-13,21.6356535991,0.294102006518
2010-05-14,21.2430568868,0.297430352998
2010-05-15,21.291401916,0.302147243199
2010-05-16,21.4890492955,0.284234503956
2010-05-17,21.6954267075,0.282922027458
2010-05-18,21.9692225802,0.357165034163
2010-05-19,21.7837727627,0.332391113658
2010-05-20,21.5992702956,0.112489855266
2010-05-21,21.319486316,0.26264228034
2010-05-22,21.1328548209,0.255406365486
2010-05-23,20.9433840339,0.139654083624
2010-05-24,20.5603070275,0.192541399598
2010-05-25,20.3433070145,0.287441791484
2010-05-26,20.1475246572,0.064965557364
2010-05-27,20.4263160156,0.253243362166
2010-05-28,20.7303954416,0.108234949738
2010-05-29,20.680856254,0.187803976376
2010-05-30,20.8258376249,0.379547897347
2010-05-31,20.2740121052,0.0994521667167
2010-06-01,20.209702054,0.0729024930979
2010-06-02,20.3893491439,0.023473249585
2010-06-03,20.6153443586,0.322038196973
2010-06-04,20.2692681017,0.184188065004
2010-06-05,20.0496570629,0.170733221406
2010-06-06,19.9221353932,0.0708826472732
2010-06-07,20.258701671,0.0430450920598
2010-06-08,20.0250132693,0.261026751818
2010-06-09,19.5610610134,0.321817410819
2010-06-10,19.1823770165,0.257373351578
2010-06-11,19.0925970154,0.535744644108
2010-06-12,19.2467902267,0.285579446695
2010-06-13,19.0731851298,0.297286927639
2010-06-14,18.536734175,0.378879385415
2010-06-15,17.8903180936,0.481274410716
2010-06-16,17.3578383293,0.11225659952
2010-06-17,17.3039278037,0.0499387079532
2010-06-18,17.3738474336,0.0399569530804
2010-06-19,17.7298145204,0.111275706161
2010-06-20,18.3088099708,0.284257953861
2010-06-21,18.9850922873,0.419468478079
2010-06-22,18.612342367,0.151329406201
2010-06-23,18.5102569097,0.0562560439937
2010-06-24,18.6928812152,0.0973402430095
2010-06-25,18.9270846758,0.254999475866
2010-06-26,18.9670633237,0.307566728603
2010-06-27,18.7680668562,0.188037727871
2010-06-28,18.5281017799,0.215662900404
2010-06-29,18.6638248293,0.223530967579
2010-06-30,18.6102254202,0.456598814141
2010-07-01,17.9677941797,0.403183602124
2010-07-02,17.5893428724,0.15670793524
2010-07-03,17.3630053097,0.186207905569
2010-07-04,17.0416207553,0.0818627776372
2010-07-05,17.4326325236,0.125312490698
2010-07-06,17.6118123199,0.084410311411
2010-07-07,17.725406121,0.227937155838
2010-07-08,17.4103848816,0.393421524335
2010-07-09,17.2943388825,0.216499781295
2010-07-10,16.9147310768,0.176342628742
2010-07-11,16.4726948134,0.0779990765571
2010-07-12,17.3661735679,0.212829977501
2010-07-13,17.9376400078,0.377949695042
2010-07-14,18.3767841426,0.229655142165
2010-07-15,17.9091634039,0.172934965474
2010-07-16,17.8665213648,0.119121898002
2010-07-17,18.2395638114,0.233830172667
2010-07-18,18.0936831913,0.375685340966
2010-07-19,18.0683899212,0.116007983993
2010-07-20,18.0131703027,0.0959902692651
2010-07-21,18.4522783258,0.291850046069
2010-07-22,18.968707777,0.326963389211
2010-07-23,19.1679233141,0.227157631906
2010-07-24,18.9568099687,0.247801176713
2010-07-25,19.2210638614,0.419440862227
2010-07-26,18.8743633674,0.157660035122
2010-07-27,18.8215969163,0.441012557072
2010-07-28,18.5024984591,0.330263480801
2010-07-29,18.077979211,0.375801511096
2010-07-30,17.8386439152,0.321774987637
2010-07-31,17.3915063455,0.156782643712
2010-08-01,17.3292097133,0.174595838868
2010-08-02,17.4093510993,0.08992363205
2010-08-03,17.6461819967,0.0903237153462
2010-08-04,18.2108066433,0.144571745863
2010-08-05,18.6381584488,0.245389946665
2010-08-06,18.8436275388,0.182441908976
2010-08-07,18.7861477091,0.217974063791
2010-08-08,19.1517486193,0.164456866273
2010-08-09,19.168800466,0.296682933344
2010-08-10,18.9389298268,0.53653622931
2010-08-11,18.3025012483,0.275310212152
2010-08-12,17.8764052017,0.265889107328
2010-08-13,17.6071152509,0.103951321412
2010-08-14,17.7162653129,0.0329346344251
2010-08-15,17.8796989675,0.0973236837457
2010-08-16,18.670387813,0.473102902967
2010-08-17,19.0949481333,0.341061459594
2010-08-18,19.2540651349,0.325740303675
2010-08-19,19.2510790756,0.37462912984
2010-08-20,19.1160843336,0.205825563785
2010-08-21,19.580546627,0.547354894947
2010-08-22,19.2696381715,0.324295998552
2010-08-23,19.1992933793,0.212296173259
2010-08-24,19.6344604686,0.335285707048
2010-08-25,19.5448138375,0.306742592697
2010-08-26,19.6484596808,0.147138423926
2010-08-27,20.4864672392,0.349966748113
2010-08-28,20.1133109436,0.270951784601
2010-08-29,19.8842251323,0.228074708653
2010-08-30,19.4780171575,0.265836363057
2010-08-31,19.3124541211,0.201655938248
2010-09-01,19.2018534598,0.327032672415
2010-09-02,19.1995829789,0.205153083928
2010-09-03,18.9603506393,0.24903983517
2010-09-04,18.6734358391,0.565682964538
2010-09-05,18.2905120048,0.161432138429
2010-09-06,19.2297760907,0.526885959577
2010-09-07,19.6093263856,0.406959220729
2010-09-08,19.464639166,0.346765857492
2010-09-09,20.0010119295,0.350683044515
2010-09-10,21.3420643143,0.367793199968
2010-09-11,21.3995615211,0.44589073122
2010-09-12,21.4928328406,0.31533322087
2010-09-13,21.2178635811,0.274205350255
2010-09-14,20.8820272803,0.369884356485
2010-09-15,21.0045635931,0.389146849018
2010-09-16,21.2468263057,0.328536440701
2010-09-17,21.6947576702,0.908484676954
2010-09-18,21.7530891518,0.23823783463
2010-09-19,21.6848269819,0.236836437366
2010-09-20,21.5086112955,0.254615188893
2010-09-21,21.1976188968,0.302196828748
2010-09-22,20.56930413,0.674527329804
2010-09-23,20.4423265039,0.426930003751
2010-09-24,20.7677915409,0.521550307308
2010-09-25,20.4163117483,0.138443753633
2010-09-26,20.6790540892,0.208184820049
2010-09-27,20.7707074849,0.162136094064
2010-09-28,20.6005530436,0.0530749105647
2010-09-29,20.944262707,0.15181105475
2010-09-30,21.5914179328,0.237043761028
2010-10-01,22.1371524611,0.605363152554
2010-10-02,22.0443308739,0.345242429406
2010-10-03,22.556197199,0.70036740098
2010-10-04,21.0499168833,0.509223359909
2010-10-05,19.822249716,0.484777665413
2010-10-06,19.5823027949,0.191949071417
2010-10-07,19.6942402285,0.097827784534
2010-10-08,19.7102939895,0.148382520696
2010-10-09,20.3719478655,0.32258412598
2010-10-10,21.0210414885,0.131440429535
2010-10-11,22.169641572,0.51763838966
2010-10-12,21.6185720876,0.349520746448
2010-10-13,21.9441824696,0.613563651581
2010-10-14,21.5866886072,0.274261152224
2010-10-15,22.3755512924,0.329487924648
2010-10-16,23.2940353473,0.682316476428
2010-10-17,23.8126709632,0.828920684732
2010-10-18,24.8351707261,0.651963190176
2010-10-19,23.5438373847,0.806979473551
2010-10-20,22.9382247106,0.566479826749
2010-10-21,22.2953115358,0.81167530395
2010-10-22,21.9338907354,0.725859536204
2010-10-23,21.3934902513,0.155467452445
2010-10-24,20.8681964744,0.246139206558
2010-10-25,20.8703686378,0.153444272461
2010-10-26,21.0884504691,0.257920009544
2010-10-27,20.9270858902,0.249564436137
2010-10-28,20.7517012051,0.310566589257
2010-10-29,20.3861669593,0.365185757341
2010-10-30,20.2655462961,0.0837542212287
2010-10-31,20.3074017331,0.0218593303583
2010-11-01,20.697132755,0.322059157581
2010-11-02,21.3905018075,0.638286318887
2010-11-03,22.3457370408,0.957003147029
2010-11-04,22.9417619797,1.17845451854
2010-11-05,22.1662071402,0.291910283714
2010-11-06,21.7491506983,0.68912299725
2010-11-07,21.4699709408,0.182329163579
2010-11-08,21.8777029388,0.222484941947
2010-11-09,21.6211929088,0.188297722198
2010-11-10,21.5204586354,0.130049047645
2010-11-11,21.4695146187,0.159837214292
2010-11-12,21.1031562174,0.196430398688
2010-11-13,21.146009847,0.327333464418
2010-11-14,20.9204757736,0.0949380788299
2010-11-15,21.4909873899,0.184992835476
2010-11-16,21.1723426106,0.191981997234
2010-11-17,21.6042211017,0.147928474714
2010-11-18,21.7255967116,0.0814097058127
2010-11-19,22.6395518026,0.404782088788
2010-11-20,23.8539760635,0.348355783695
2010-11-21,24.6536392903,0.291148693813
2010-11-22,25.1234033204,0.666883004947
2010-11-23,23.2960879376,0.556801601402
2010-11-24,22.0614738135,0.571082389502
2010-11-25,21.1246957095,0.561366201247
2010-11-26,21.1304915899,0.259764922631
2010-11-27,21.5478859119,0.193033449187
2010-11-28,21.2987404684,0.306393164913
2010-11-29,20.9330096439,0.217178671298
2010-11-30,20.3404773255,0.313838839968
2010-12-01,19.924313562,0.0815816113266
2010-12-02,20.7231234641,0.460195954552
2010-12-03,20.8803802187,0.43464136641
2010-12-04,21.4718549396,0.305860546885
2010-12-05,21.636143351,0.00606519550654
2010-12-06,NaN,NaN
2010-12-07,NaN,NaN
2010-12-08,NaN,NaN
2010-12-09,NaN,NaN
