date-time, SO2-flux-a (kg/s), error (kg/s)
2016-03-28T01:29:57.000Z,2.65,1.29
2016-03-28T01:43:15.000Z,5.71,2.77
2016-03-28T01:47:46.000Z,7.27,3.53
2016-03-28T02:01:03.000Z,3.53,1.71
2016-03-28T02:27:38.000Z,2.88,1.4
2016-03-28T03:11:59.000Z,5.02,2.44
2016-03-28T22:52:59.000Z,0.78,0.38
2016-03-28T23:01:51.000Z,0.92,0.45
2016-03-28T23:19:36.000Z,0.8,0.39
2016-04-02T22:19:50.000Z,0.56,0.27
2016-04-02T23:48:26.000Z,2.58,1.25
2016-04-03T22:55:19.000Z,1.58,0.77
2016-04-03T23:17:30.000Z,1.34,0.65
2016-04-04T00:19:28.000Z,5.57,2.7
2016-04-04T00:23:50.000Z,0.5,0.24
2016-04-05T00:54:18.000Z,0.84,0.41
2016-04-05T01:36:40.000Z,1.45,0.7
2016-04-05T23:48:26.000Z,0.54,0.26
2016-04-06T00:14:51.000Z,0.3,0.15
2016-04-06T00:23:36.000Z,0.69,0.34
2016-04-06T23:13:06.000Z,5.07,2.46
2016-04-06T23:26:24.000Z,4.05,1.96
2016-04-06T23:44:04.000Z,0.5,0.24
2016-04-07T00:28:02.000Z,0.37,0.18
2016-04-07T00:32:24.000Z,0.76,0.37
2016-04-07T00:43:17.000Z,0.25,0.12
2016-04-07T21:26:36.000Z,1.66,0.81
2016-04-07T21:57:39.000Z,1.72,0.83
2016-04-07T22:10:57.000Z,2.63,1.28
2016-04-07T22:15:24.000Z,1.52,0.74
2016-04-07T22:19:50.000Z,1.61,0.78
2016-04-07T22:24:16.000Z,1.95,0.94
2016-04-07T22:28:42.000Z,3.28,1.59
2016-04-07T22:33:08.000Z,3.04,1.47
2016-04-07T22:50:53.000Z,3.48,1.69
2016-04-07T22:55:19.000Z,1.6,0.78
2016-04-07T23:13:03.000Z,1.53,0.74
2016-04-07T23:17:30.000Z,2.25,1.09
2016-04-11T22:59:45.000Z,1.99,0.97
2016-04-11T23:26:21.000Z,1.62,0.79
2016-04-12T01:08:12.000Z,3.85,1.87
2016-04-12T01:12:34.000Z,0.56,0.27
2016-04-13T01:34:44.000Z,2.23,1.08
2016-04-14T21:44:20.000Z,0.61,0.3
2016-04-17T22:46:27.000Z,1.98,0.96
2016-04-24T00:15:09.000Z,3.52,1.71
2016-04-24T23:21:56.000Z,16.19,7.85
2016-04-24T23:26:22.000Z,6.04,2.93
2016-04-25T00:23:46.000Z,0.5,0.24
2016-04-25T00:32:30.000Z,1.15,0.56
2016-04-25T00:41:17.000Z,0.31,0.15
2016-04-25T21:22:10.000Z,0.46,0.22
2016-04-25T21:31:02.000Z,2.08,1.01
2016-04-25T21:44:21.000Z,0.52,0.25
2016-04-25T21:57:39.000Z,6.06,2.94
2016-04-25T22:06:31.000Z,1.19,0.58
2016-04-25T22:33:08.000Z,2.78,1.35
2016-04-25T22:46:27.000Z,1.55,0.75
2016-04-25T23:17:30.000Z,1.15,0.56
2016-04-25T23:30:48.000Z,1.63,0.79
2016-04-25T23:35:14.000Z,3.97,1.93
2016-04-26T00:14:55.000Z,1.19,0.58
2016-04-26T00:32:25.000Z,0.5,0.24
2016-04-26T00:58:33.000Z,0.12,0.06
2016-04-26T01:14:52.000Z,0.04,0.02
2016-04-26T01:25:54.000Z,0.12,0.06
2016-04-26T01:37:01.000Z,0.9,0.44
2016-04-26T02:07:42.000Z,1.1,0.53
2016-04-26T02:43:11.000Z,2.91,1.41
2016-04-27T01:56:11.000Z,0.29,0.14
2016-04-27T02:40:32.000Z,1.12,0.54
2016-04-27T23:35:13.000Z,5.6,2.72
2016-04-27T23:48:31.000Z,7.7,3.74
2016-04-28T00:28:21.000Z,3.19,1.55
2016-04-28T00:37:05.000Z,0.81,0.4
2016-04-28T01:42:23.000Z,0.66,0.32
2016-04-28T21:53:13.000Z,4.45,2.16
2016-04-28T22:46:27.000Z,2.66,1.29
2016-04-28T23:13:03.000Z,1.86,0.9
2016-04-28T23:44:06.000Z,2.64,1.28
2016-04-29T00:50:08.000Z,6.71,3.25
2016-04-29T03:27:57.000Z,0.84,0.41
2016-04-29T22:02:05.000Z,2.39,1.16
2016-04-29T22:19:50.000Z,2.66,1.29
2016-04-29T23:21:56.000Z,1.96,0.95
2016-04-30T00:32:29.000Z,0.55,0.26
2016-04-30T00:41:14.000Z,0.31,0.15
2016-04-30T00:52:07.000Z,0.15,0.07
2016-04-30T01:20:23.000Z,0.08,0.04
2016-05-01T21:44:20.000Z,0.66,0.32
2016-05-01T21:53:13.000Z,1.56,0.76
2016-05-01T21:57:39.000Z,1.08,0.52
2016-05-01T22:06:31.000Z,1.63,0.79
2016-05-01T22:10:57.000Z,1.1,0.54
2016-05-01T22:28:42.000Z,1.62,0.79
2016-05-01T22:33:08.000Z,1.06,0.51
2016-05-01T22:37:34.000Z,1.46,0.71
2016-05-01T23:26:22.000Z,2.12,1.03
2016-05-02T01:12:38.000Z,0.58,0.28
2016-05-02T01:17:03.000Z,1.21,0.59
2016-05-02T01:21:25.000Z,0.53,0.26
2016-05-02T22:55:19.000Z,2.24,1.09
2016-05-02T23:26:22.000Z,5,2.43
2016-05-02T23:48:28.000Z,2.32,1.12
2016-05-03T01:23:55.000Z,0.29,0.14
2016-05-03T01:53:33.000Z,5.93,2.87
2016-05-03T21:13:18.000Z,0.7,0.34
2016-05-03T21:57:39.000Z,0.86,0.42
2016-05-03T23:35:14.000Z,0.55,0.27
2016-05-04T00:41:19.000Z,0.49,0.24
2016-05-04T00:52:13.000Z,0.27,0.13
2016-05-04T01:26:03.000Z,0.27,0.13
2016-05-07T23:04:11.000Z,0.76,0.37
2016-05-07T23:52:59.000Z,1.1,0.53
2016-05-08T22:28:42.000Z,1.99,0.97
2016-05-08T22:33:08.000Z,0.82,0.4
2016-05-08T22:37:34.000Z,0.66,0.32
2016-05-08T23:48:31.000Z,1.64,0.8
2016-05-09T01:42:52.000Z,0.47,0.23
2016-05-11T23:35:22.000Z,3.89,1.89
2016-05-12T00:46:18.000Z,4.29,2.08
2016-05-12T00:59:36.000Z,4.98,2.42
2016-05-12T01:35:05.000Z,2.69,1.31
2016-05-12T02:06:07.000Z,3.15,1.53
2016-05-12T23:17:30.000Z,11.75,5.7
2016-05-12T23:39:40.000Z,8.27,4.01
2016-05-12T23:52:55.000Z,12.43,6.03
2016-05-13T00:01:44.000Z,2.23,1.08
2016-05-13T00:23:49.000Z,0.21,0.1
2016-05-13T00:32:34.000Z,0.41,0.2
2016-05-13T01:37:19.000Z,0.64,0.31
2016-05-13T01:42:53.000Z,1.21,0.59
