Volcano Name	VNUM	Latitude	Longitude	Region	Sub-region	Volcano Type	Unit name	Eruption start day	Eruption start month	Eruption start year	Year BP	Date Error	Dating technique	Date quality	Alternate values	Citation	Tephra fall deposit volume	Qualifier	Error	Alternate values	Citation	Tephra fall DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Ignimbrite deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Ignimbrite DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Primary intra caldera deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Primary intra caldera DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Bulk deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Bulk DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Magma Type	Magma Density	Magnitude	Qualifier	Derivation	Alternate values	Citation	VEI	Qualifier	Derivation	Alternate values	Citation	Column height Min	Citation	Column height Max	Citation	Column height Average	Citation	Alternate values	Intensity Min	Citation	Intensity Max	Citation	Intensity Average	Citation	Alternate values
Adatara	283170	37.644	140.286	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Nihonmatsu 3				70000		Not Available	Low quality	No	Hayakawa (2009)																																				0.1	>=		0	No		0.04	>=		0	No		Not Available		4		Literature	No	Hayakawa (2009)	4		Calculated	No								No							No
Adatara	283170	37.644	140.286	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Adatara-Dake Pumice (Ad-DK) (D)				131000		Not Available	No information	No	Hayakawa (2009)																																				1.7			1	No	Suzuki (1996)	2	>		0	Yes	Smithsonian Pleistocene Database	Not Available		5.2		Literature	No	Hayakawa (2009)	4		Literature	Yes	Machida & Arai (2003)							No							No
Adwa	221170	10.07	40.84	Africa and Red Sea	Africa (northeastern) & Red Sea	Stratovolcano(es)																																																																												No							No
Aegina	212802	37.75	23.5	Mediterranean and W Asia	Greece	Not Available																																																																												No							No
Aeolian				Not Available	Not Available	Not Available																																																																												No							No
Afdem	421820	9.5	40.85	Africa and Red Sea	Africa (northeastern) & Red Sea	Stratovolcano(es)																																																																												No							No
Afderà	221110	13.08333333	40.85	Africa and Red Sea	Africa (northeastern) & Red Sea	Stratovolcano(es)																																																																												No							No
Agrigan	284160	18.77	145.67	"Japan, Taiwan, Marianas"	"Izu, Volcano, & Mariana Islands"	Stratovolcano(es)	1917 AD	9	4	1917	33		Historical records	High quality	No	SI	0.1	>=		No		0.04	>=		?	No																										0.1	>=		0	No		0.04			0	No		Andesite		4		Calculated	No		4		Literature	No	SI							No							No
Agua	342100	14.46472222	-90.74305556	México and Central America	Guatemala	Stratovolcano(es)																																																																												No							No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	1563 AD	28	6	1563	387		Historical records	High quality	No	SI	1.3			No	Carey and Sparks (1986)	0.34			1	Yes	Carey and Sparks (1986)																									1.3			1	Yes	Carey and Sparks (1986)	0.34			1	No	Carey and Sparks (1986)	Trachyte		5		Literature	No	Carey and Sigurdsson (1989)	4		Literature	No	SI			19	Carey and Sparks (1986)		Carey and Sparks (1986)	No			10.28	Carey and Sigurdsson (1989)			No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	1563 AD	28	6	1563	387		Historical records	High quality	No	Carey and Sigurdsson (1989)	1.3			No	Carey and Sparks (1986)	0.34			1	Yes	Carey and Sparks (1986)																									1.3			1	Yes	Carey and Sparks (1986)	0.34			1	No	Carey and Sparks (1986)	Trachyte		5		Literature	No	Carey and Sigurdsson (1989)	4		Literature	No	SI			19	Carey and Sparks (1986)		Carey and Sparks (1986)	No			10.28	Carey and Sigurdsson (1989)			No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	1563 AD	28	6	1563	387		Historical records	High quality	No	SI	1.3			No	Carey and Sparks (1986)	0.34			1	Yes	Carey and Sparks (1986)																									1.3			1	Yes	Carey and Sparks (1986)	0.34			1	No	Carey and Sparks (1986)	Trachyte		5		Literature	No	Carey and Sigurdsson (1989)	4		Literature	No	SI			19	Carey and Sigurdsson (1989)		Carey and Sigurdsson (1989)	No			10.28	Carey and Sigurdsson (1989)			No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	1563 AD	28	6	1563	387		Historical records	High quality	No	Carey and Sigurdsson (1989)	1.3			No	Carey and Sparks (1986)	0.34			1	Yes	Carey and Sparks (1986)																									1.3			1	Yes	Carey and Sparks (1986)	0.34			1	No	Carey and Sparks (1986)	Trachyte		5		Literature	No	Carey and Sigurdsson (1989)	4		Literature	No	SI			19	Carey and Sigurdsson (1989)		Carey and Sigurdsson (1989)	No			10.28	Carey and Sigurdsson (1989)			No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	Fogo B - Lagoa do Fogo caldera 1290 BC			-1528	3478		Radiocarbon (corrected)	Medium quality	No	Bryson et al (2006)																																				0.6			1	No	SI	0.06			1	No		Trachyte		4.1		Calculated	No		4		Literature	No	SI							No							No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	Fogo A			-3139	5089		Radiocarbon (corrected)	Medium quality	No	Bryson et al (2006)	5.4			No	Carey and Sparks (1986)	1.75			2	Yes	Carey and Sparks (1986)																									5.4			2	Yes	Carey and Sparks (1986)	1.75			2	No	Carey and Sparks (1986)	Trachyte		5.6		Literature	No	Carey and Sigurdsson (1989)	5		Calculated	No				30	Carey and Sigurdsson (1989)		Carey and Sigurdsson (1989)	No			11	Carey and Sigurdsson (1989)			No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	Lagoa do Fogo caldera 2990 BC			-3719	5669		Radiocarbon (corrected)	Medium quality	No	Bryson et al (2006)																																				3.2			1	No	SI	1.28			1	No		Trachyte		5.5		Calculated	No		5		Literature	No	SI							No							No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	Caldera formation (inner)				17838		Radiocarbon (corrected)	Low quality	No	Bryson et al (2006)	1.5			No	Moore (1990)	0.65			?	No																										11.5	>		0	No	Collapse Caldera Database (2011)	5	>=		0	No	Collapse Caldera Database (2011)	Trachyte		6.1	>=	Calculated	No		5	?	Literature	No	Smithsonian Pleistocene Database							No							No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	Caldera formation (inner)				17838		Radiocarbon (corrected)	Low quality	No	Bryson et al (2006)	1.5			No	Moore (1990)	0.65			?	No																										11.5	>		0	No	Collapse Caldera Database (2011)	5	>=		0	No	Moore (1990)	Trachyte		6.1	>=	Calculated	No		5	?	Literature	No	Smithsonian Pleistocene Database							No							No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	"Caldera formation (outer, older)"				36250		Not Available	Low quality	No	Moore (1990)																																				5	>		1	No	Moore (1990)	2.17			1	No		Trachyte		5.7		Calculated	No		5	?	Literature	No	Smithsonian Pleistocene Database							No							No
"Aguajito, El"	341802	27.6	-112.5333333	México and Central America	México	Not Available	Caldera formation				760000		K Ar	Medium quality	No	Garduño-Monroy et al (1993)																																				2			1	No	Garduño-Monroy et al (1993)	0.87			1	No		Rhyolite		5.3		Calculated	No		5		Calculated	No								No							No
"Aguajito, El"	341802	27.6	-112.5333333	México and Central America	México	Not Available	Caldera formation				760000		K Ar	Medium quality	No	Smithsonian Pleistocene Database																																				2			1	No	Garduño-Monroy et al (1993)	0.87			1	No		Rhyolite		5.3		Calculated	No		5		Calculated	No								No							No
"Aguajito, El"	341802	27.6	-112.5333333	México and Central America	México	Not Available	La Reforma caldera				1500000		Stratigraphy	Low quality	No	Smithsonian Pleistocene Database																																				0.1	>=		0	No		0.04	>=		0	No		Not Available		4	>=	Assumed	No		4	>=	Assumed	No								No							No
"Aguajito, El"	341802	27.6	-112.5333333	México and Central America	México	Not Available	La Reforma caldera				1500000		Stratigraphy	Low quality	No	Garduño-Monroy et al (1993)																																				0.1	>=		0	No		0.04	>=		0	No		Not Available		4	>=	Assumed	No		4	>=	Assumed	No								No							No
Aguas Blancas	555905	-25.7	-68.48333333	South America	Pacific Ocean (Chilean Islands)	Not Available																																																																												No							No
Aguas Calientes	555901	-24.9	-68.68333333	South America	Pacific Ocean (Chilean Islands)	Not Available																																																																												No							No
"Aguas Calientes, Cerro"	555897	-22.68333333	-67.75	South America	Pacific Ocean (Chilean Islands)	Stratovolcano(es)																																																																												No							No
Aguas Delgadas	355857	-24.45	-68.4	South America	"Northen Chile, Bolivia & Argentina"	Not Available																																																																												No							No
Aguilera	358062	-50.33	-73.75	South America	Southern Chile & Argentina	Stratovolcano(es)	A1			-1250	3200		Radiocarbon (corrected)	Medium quality	No	Stern (2008)																																				6	?		?	No	SI	2.5	?		?	No		Dacite		5.8		Calculated	No		5		Literature	No	SI							No							No
Agung	264020	-8.342	115.508	Indonesia	Lesser Sunda Islands	Stratovolcano(es)	1963 AD	18	2	1963	-13		Historical records	High quality	No	SI																																				1	>		?	No	SI	0.85			0	No	Self and King (1996)	Andesite		5.3		Calculated	No		5		Literature	No	SI			28	SI		SI	Yes			11.12				No
Agung	264020	-8.342	115.508	Indonesia	Lesser Sunda Islands	Stratovolcano(es)	1963 AD	18	2	1963	-13		Historical records	High quality	No	SI																																				1	>		?	No	SI	0.85			0	No	Self and King (1996)	Andesite		5.3		Calculated	No		5		Literature	No	SI			28	Self and King (1996)		Self and King (1996)	Yes			11.12				No
"Ahon, Tarso"	225819	21.4	18.3	Africa and Red Sea	Africa (northern)	Not Available																																																																												No							No
